Poštanski broj,Poštanski ured,Adresa,Mjesto
23287,Veli Rat,Vidov prolaz 2A,VELI RAT
23291,Sestrunj,Sestrunj 12,SESTRUNJ
23292,Molat,Molat 158,MOLAT
23293,Ist,Ist 48,IST
23294,Premuda,Premuda 87,PREMUDA
23295,Silba,Silba 410,SILBA
23296,Olib,Olib 183,OLIB
23312,Novigrad (Dalmacija),Stjepana Radića 1,NOVIGRAD
23420,Benkovac,Vukovarska 8,BENKOVAC
23422,Stankovci,Stankovci 221,STANKOVCI
23423,Polača,Polača 49,POLAČA
23440,Gračac,Obrovačka 6,GRAČAC
23445,Srb,Splitska 1,SRB
23450,Obrovac,Trg Franje Tuđmana 3,OBROVAC
23452,Karin,Ulica  I 79,KARIN
31000,Osijek,Kardinala Alojzija Stepinca 17,OSIJEK
31103,Osijek,Trg Bana Jelačića 23,OSIJEK
31104,Osijek,Prolaz Julija Benešića 1,OSIJEK
31105,Osijek,Ulica Sv. Leopolda Bogdana Mandića 7,OSIJEK
31106,Osijek,Ljudevita Posavskog 34,OSIJEK
31107,Osijek,Ulica jablanova 2,OSIJEK
31108,Osijek,Drinska 4 A,OSIJEK
31110,Osijek,"TC Kaufland, Josipa Reihl-Kira 40",OSIJEK
31111,Osijek,Opatijska 26 F,OSIJEK
31112,Osijek,Sjenjak 137,OSIJEK
31204,Bijelo Brdo,Nikole Tesle 65,BIJELO BRDO
31205,Aljmaš,M. Palinkaša 1,ALJMAŠ
31206,Erdut,Ivana Bakića 24,ERDUT
31207,Tenja,Vlatka Mačeka 20,TENJA
31208,Petrijevci,Republike 116,PETRIJEVCI
31214,Laslovo (Szentlászló),Vladimira Nazora 73,LASLOVO - KOROG
31215,Ernestinovo,Vladimira Nazora 61,ERNESTINOVO
31216,Antunovac,Braće Radića 4,ANTUNOVAC
31220,Višnjevac,Josipa Jurja Strossmayera 2,VIŠNJEVAC
31222,Bizovac,Kralja Tomislava 138,BIZOVAC
31223,Brođanci,Trg 1,BROĐANCI
31224,Koška,Josipa Kozarca 2,KOŠKA
31225,Breznica Našička,Osječka 20,BREZNICA NAŠIČKA
31226,Dalj,Bana Jelačića 18,DALJ
31227,Zelčin,Ljudevita Gaja 1,ZELČIN
31300,Beli Manastir,Imre Nagya 2 E,BELI MANASTIR
31302,Kneževo,Trg D. Drevenšeka 7,KNEŽEVO
31303,Popovac,Vladimira Nazora 32,POPOVAC
31304,Duboševica,Dr. Franje Tuđmana 2,DUBOŠEVICA
31305,Draž,Braće Radić 1,DRAŽ
31306,Batina,Trg slobode 10 A,BATINA
31307,Zmajevac (Vörösmart),Maršala Tita 198,ZMAJEVAC
31309,Kneževi Vinogradi,Glavna 10,KNEŽEVI VINOGRADI
31315,Karanac,Kolodvorska 124,KARANAC
31321,Petlovac,Rade Končara 48,PETLOVAC
31322,Baranjsko Petrovo Selo,Glavna 10,BARANJSKO PETROVO SELO
31324,Jagodnjak,Borisa Kidriča 93,JAGODNJAK
31325,Čeminac,Kolodvorska 2,ČEMINAC
31326,Darda,135. Baranjske brigade 14,DARDA
31327,Bilje,Kralja Zvonimira 10,BILJE
31328,Lug (Laskó),Petefi Šandora 114,LUG
31400,Đakovo,Trg dr. Franje Tuđmana 1 A,ĐAKOVO
31401,Viškovci,Omladinska 23,VIŠKOVCI
31402,Semeljci,Kolodvorska 2,SEMELJCI
31403,Vuka,Osječka 72,VUKA
31404,Vladislavci,Kralja Tomislava 141,VLADISLAVCI
31405,Đakovo,Augusta Cesarca 9,ĐAKOVO
31410,Strizivojna,Braće Radića 210,STRIZIVOJNA
31411,Trnava,Ivana Meštrovića 2,TRNAVA
31416,Levanjska Varoš,Glavna 70,LEVANJSKA VAROŠ
31417,Piškorevci,Stjepana Radića 28,PIŠKOREVCI
31418,Drenje,Gajeva 23,DRENJE
31421,Satnica Đakovačka,Ante Starčevića 10,SATNICA ĐAKOVAČKA
31422,Gorjani,Bolokan 11 A,GORJANI
31424,Punitovci,Stjepana Radića 58,PUNITOVCI
31431,Čepin,Kralja Zvonimira 93 C,ČEPIN
31432,Budimci,Bana Josipa Jelačića 171,BUDIMCI
31433,Podgorač,Trg P. Pejačević 3,PODGORAČ
31500,Našice,Strossmayerova 2,NAŠICE
31511,Đurđenovac,Trg Bana Jelačića 11,ĐURĐENOVAC
31512,Feričanci,Trg Matije Gupca 3,FERIČANCI
31513,Donja Motičina,Matije Gupca 62A,DONJA MOTIČINA
31530,Podravska Moslavina,Josipa Jurja Strossmayera 122,PODRAVSKA MOSLAVINA
31531,Viljevo,Braće Radića 87,VILJEVO
31540,Donji Miholjac,Vukovarska 4,DONJI MIHOLJAC
31542,Magadenovac,Glavna 3,MAGADENOVAC
31543,Miholjački Poreč,Eugena Kraja 28,MIHOLJAČKI POREČ
31550,Valpovo,Osječka 2,VALPOVO
31551,Belišće,Gutmanova 24,BELIŠĆE
31552,Podgajci Podravski,Vladimira Nazora 146,PODGAJCI PODRAVSKI
31554,Gat,Kolodvorska  2,GAT
31555,Marijanci,Trg svetog Petra I Pavla 4,MARIJANCI
32000,Vukovar,Josipa Jurja Strossmayera 4,VUKOVAR
32010,Vukovar,Hrvatskog zrakoplovstva 2,VUKOVAR
32011,Vukovar,Bana Josipa Jelačića 92,VUKOVAR
32100,Vinkovci,M. A. Reljkovića 7,VINKOVCI
32101,Vinkovci,Trg kralja Tomislava 2,VINKOVCI
32103,Vinkovci,"TC Kaufland, Lapovačka ulica 15",VINKOVCI
32212,Gaboš,Jove Jovanovića Zmaja 1,GABOŠ
32213,Markušica,P. Cara 2,MARKUŠICA
32214,Tordinci,Trg Hrvatskih žrtava 7,TORDINCI
32221,Nuštar,Trg dr. Franje Tuđmana 4,NUŠTAR
32222,Bršadin,M. Mirkovića 6,BRŠADIN
32224,Trpinja,Velika 1,TRPINJA
32225,Bobota,Mitrovićeva 29,BOBOTA
32227,Borovo,Glavna 3,BOROVO
32229,Petrovci,Vukovarska 1,PETROVCI
32232,Sotin,Dr. Franje Tuđmana 20,SOTIN
32234,Šarengrad,Oca B. T. Leakovića 1,ŠARENGRAD
32235,Bapska,Stjepana Radića 2,BAPSKA
32236,Ilok,Trg N. Iločkog 7,ILOK
32237,Lovas,Ante Starčevića 7,LOVAS
32238,Čakovci,Kralja Zvonimira 2,ČAKOVCI
32239,Negoslavci,Braće Nerandžića 4,NEGOSLAVCI
32241,Stari Jankovci,Dr. Franje Tuđmana 1,STARI JANKOVCI
32242,Slakovci,Petra Preradovića 52,SLAKOVCI
32243,Orolik,Ivana Gorana Kovačića 1,OROLIK
32244,Đeletovci,Bana Josipa Jelačića 10,ĐELETOVCI
32245,Nijemci,Zrinska 1 A,NIJEMCI
32246,Lipovac,Cvjetno naselje 1,LIPOVAC
32247,Banovci,M. Oreškovića 1,BANOVCI
32248,Ilača,Vladimira Nazora 24 A,ILAČA
32249,Tovarnik,Bana Jelačića 1,TOVARNIK
32251,Privlaka,Faličevci 1,PRIVLAKA
32252,Otok,Trg kralja Tomislava 7,OTOK
32253,Komletinci,Braće Radić 13 A,KOMLETINCI
32254,Vrbanja,Kneza Ljudevita Posavskog 17,VRBANJA
32255,Soljani *,Braće Radić 42 A,SOLJANI
32256,Strošinci,Vladimira Nazora 50,STROŠINCI
32257,Drenovci,Vladimira Nazora 4,DRENOVCI
32258,Posavski Podgajci,Matije Gupca 152,POSAVSKI PODGAJCI
32259,Gunja,Trg žrtava Domovinskog rata 35,GUNJA
32260,Gunja  sez.,Trg bana Šokčevića 1,GUNJA
32262,Račinovci,Ante Starčevića 2,RAČINOVCI
32264,Bajakovo,Prijelaz državne granice Bajakovo,LIPOVAC
32270,Županja,Dr. Franje Račkog 2 B,ŽUPANJA
32271,Rokovci Andrijaševci,Vinkovačka 6,ROKOVCI
32272,Cerna,Šetalište dr. Franje Tuđmana 9,CERNA
32273,Gradište,Trg Hrvatskih velikana 36,GRADIŠTE
32274,Štitar,Josipa Jurja Strossmayera 36,ŠTITAR
32275,Bošnjaci,Trg fra B. T. Leakovića 10,BOŠNJACI
32276,Babina Greda,Kralja Tomislava 3,BABINA GREDA
32280,Jarmina,Braće Radić 27,JARMINA
32281,Ivankovo,Trg Bana Josipa Jelačića 5,IVANKOVO
32282,Retkovci,Braće Radić 3,RETKOVCI
32283,Vođinci,Josipa Jurja Strossmayera 198,VOĐINCI
32284,Stari Mikanovci,Matije Gupca 2,STARI MIKANOVCI
33000,Virovitica,Masarykova 1,VIROVITICA
33401,Virovitica,Sajmište 2,VIROVITICA
33404,Špišić Bukovica,Vladimira Nazora 63,ŠPIŠIĆ BUKOVICA
33405,Pitomača,Ljudevita Gaja 34,PITOMAČA
33406,Lukač,Lukač 50,LUKAČ
33410,Suhopolje,Trg svete Terezije 6,SUHOPOLJE
33411,Gradina,Trg Hrvatskih branitelja 6A,GRADINA
33412,Cabuna,Stjepana  Radića 20,CABUNA
33507,Crnac,Nikole Šubića Zrinskog 2,CRNAC
33513,Zdenci,Trg Hrvatskih branitelja 1,ZDENCI
33514,Čačinci,Trg dr. Franje Tuđmana 1 A,ČAČINCI
33515,Orahovica,Kralja Zvonimira 25,ORAHOVICA
33517,Mikleuš,Nikole Šubića Zrinskog 93,MIKLEUŠ
33518,Nova Bukovica,Zagrebačka 15,NOVA BUKOVICA
33520,Slatina,Ulica bana Jelačića 29,SLATINA
33522,Voćin,Josipa Martinca 2,VOĆIN
33523,Čađavica,Kolodvorska 2,ČAĐAVICA
33525,Sopje,Kralja Tomislava 18,SOPJE
33533,Pivnica Slavonska,Pivnica Cesta 30,PIVNICA SLAVONSKA
34000,Požega,Kamenita vrata 10,POŽEGA
34303,Požega,"TC Kaufland, Njemačka ulica 40",POŽEGA
